speaker,gender
AVPEPUDEAC0001,"female"
AVPEPUDEAC0003,"male"
AVPEPUDEAC0004,"female"
AVPEPUDEAC0005,"male"
AVPEPUDEAC0006,"female"
AVPEPUDEAC0007,"female"
AVPEPUDEAC0008,"female"
AVPEPUDEAC0010,"female"
AVPEPUDEAC0011,"female"
AVPEPUDEAC0012,"female"
AVPEPUDEAC0013,"female"
AVPEPUDEAC0014,"female"
AVPEPUDEAC0015,"female"
AVPEPUDEAC0016,"female"
AVPEPUDEAC0017,"female"
AVPEPUDEAC0018,"female"
AVPEPUDEAC0019,"female"
AVPEPUDEAC0020,"female"
AVPEPUDEAC0021,"male"
AVPEPUDEAC0022,"male"
AVPEPUDEAC0023,"female"
AVPEPUDEAC0024,"female"
AVPEPUDEAC0025,"female"
AVPEPUDEAC0026,"male"
AVPEPUDEAC0027,"male"
AVPEPUDEAC0028,"female"
AVPEPUDEAC0029,"female"
AVPEPUDEAC0030,"female"
AVPEPUDEAC0031,"male"
AVPEPUDEAC0033,"male"
AVPEPUDEAC0034,"male"
AVPEPUDEAC0035,"male"
AVPEPUDEAC0037,"male"
AVPEPUDEAC0039,"male"
AVPEPUDEAC0040,"male"
AVPEPUDEAC0041,"male"
AVPEPUDEAC0042,"male"
AVPEPUDEAC0043,"male"
AVPEPUDEAC0044,"male"
AVPEPUDEAC0045,"male"
AVPEPUDEAC0046,"male"
AVPEPUDEAC0047,"male"
AVPEPUDEAC0048,"male"
AVPEPUDEAC0049,"male"
AVPEPUDEAC0050,"male"
AVPEPUDEAC0051,"male"
AVPEPUDEAC0052,"male"
AVPEPUDEAC0053,"female"
AVPEPUDEAC0054,"female"
AVPEPUDEAC0057,"female"
AVPEPUDEA0001,"male"
AVPEPUDEA0002,"female"
AVPEPUDEA0003,"female"
AVPEPUDEA0005,"male"
AVPEPUDEA0006,"female"
AVPEPUDEA0007,"female"
AVPEPUDEA0008,"female"
AVPEPUDEA0009,"female"
AVPEPUDEA0010,"female"
AVPEPUDEA0011,"female"
AVPEPUDEA0013,"male"
AVPEPUDEA0014,"female"
AVPEPUDEA0015,"female"
AVPEPUDEA0016,"male"
AVPEPUDEA0017,"male"
AVPEPUDEA0020,"female"
AVPEPUDEA0021,"female"
AVPEPUDEA0022,"male"
AVPEPUDEA0023,"male"
AVPEPUDEA0024,"male"
AVPEPUDEA0025,"male"
AVPEPUDEA0026,"female"
AVPEPUDEA0027,"male"
AVPEPUDEA0029,"female"
AVPEPUDEA0030,"male"
AVPEPUDEA0031,"female"
AVPEPUDEA0032,"male"
AVPEPUDEA0034,"male"
AVPEPUDEA0035,"female"
AVPEPUDEA0037,"male"
AVPEPUDEA0038,"male"
AVPEPUDEA0039,"male"
AVPEPUDEA0041,"male"
AVPEPUDEA0042,"female"
AVPEPUDEA0043,"male"
AVPEPUDEA0045,"female"
AVPEPUDEA0046,"male"
AVPEPUDEA0047,"female"
AVPEPUDEA0048,"female"
AVPEPUDEA0049,"male"
AVPEPUDEA0050,"female"
AVPEPUDEA0051,"female"
AVPEPUDEA0052,"female"
AVPEPUDEA0053,"male"
AVPEPUDEA0054,"female"
AVPEPUDEA0055,"male"
AVPEPUDEA0056,"male"
AVPEPUDEA0057,"male"
AVPEPUDEA0058,"male"
AVPEPUDEA0059,"female"
